Word	Score
spasm	30720
cadet	30716
slaty	30714
sucre	30710
lance	30708
feria	30708
zaire	30706
loave	30705
ravel	30703
bania	30701
yeesh	30698
caber	30698
sapid	30695
snoke	30694
maker	30694
shine	30693
sprat	30687
ruana	30682
curse	30680
emote	30675
marua	30675
arpen	30673
shoal	30673
gaita	30672
segno	30669
daisy	30668
anode	30667
geode	30666
arrah	30665
terfe	30661
roule	30659
gaper	30658
sadza	30658
nonet	30657
roker	30654
lamia	30651
larga	30647
brane	30644
teeny	30644
loran	30642
sibia	30641
besot	30637
speak	30633
repat	30632
skeef	30626
neant	30625
blare	30625
usage	30623
smaak	30622
shaya	30621
olpae	30621
bohea	30616
morne	30616
nenta	30614
ukase	30614
realm	30613
those	30612
beray	30606
egest	30605
sandy	30605
renew	30599
suent	30598
stipe	30598
morra	30595
rosin	30592
ysame	30592
sieth	30584
tayra	30581
patta	30577
salud	30576
rosti	30576
sadly	30573
ebena	30571
refel	30570
shola	30569
redan	30566
lowse	30564
taken	30563
plate	30562
apter	30560
swire	30560
freet	30560
toaze	30559
sabin	30555
stime	30555
regia	30554
galia	30554
agape	30552
ourie	30550
reive	30547
mahoe	30547
ready	30536
corso	30535
psoai	30533
manta	30531
sorbo	30528
react	30527
revie	30523
toper	30514
alist	30513
boner	30512
heave	30511
preta	30511
genoa	30510
leany	30509
testy	30506
retro	30504
palay	30503
rabat	30503
alary	30502
snipe	30501
moria	30501
nyssa	30496
aiver	30491
zonae	30489
staid	30488
datal	30488
reedy	30487
inane	30486
sutta	30481
raven	30480
sayid	30479
table	30477
heder	30476
razet	30475
spode	30475
dolie	30472
karst	30469
netta	30459
swole	30457
uster	30455
scrat	30455
yente	30454
riato	30454
tawie	30454
spesh	30451
kreen	30450
barye	30448
titer	30447
gayer	30442
calla	30441
smash	30440
lauan	30439
dealt	30435
loure	30429
serum	30425
shaka	30421
padle	30421
stall	30418
liner	30418
hayer	30418
neram	30414
gooey	30413
lotte	30413
shash	30412
ecole	30406
suety	30406
sloot	30405
jaspe	30405
varia	30405
verte	30405
lagar	30404
solid	30402
yatra	30393
sheol	30393
pelta	30390
canal	30389
hooey	30389
moile	30388
revet	30388
sakti	30386
nosir	30384
liege	30382
preem	30379
laude	30376
elide	30373
eusol	30370
stell	30369
tonne	30369
soldo	30368
molie	30367
elain	30366
heart	30364
amaro	30364
nasty	30361
reman	30358
there	30356
coria	30352
sprue	30351
retam	30351
panna	30349
shiai	30346
skite	30346
repla	30345
aroha	30343
rotal	30343
basil	30342
prore	30341
rotta	30336
swage	30336
louie	30335
fader	30335
ileal	30334
terga	30333
acone	30331
fleer	30330
loper	30330
pirre	30330
diana	30327
teend	30326
camel	30325
glare	30322
skiey	30319
benne	30318
taiga	30317
parma	30316
burse	30316
afore	30315
ravey	30311
styre	30311
taxer	30308
oller	30308
recal	30300
attar	30299
egret	30299
toyer	30298
braai	30297
delta	30294
recta	30293
novae	30292
prier	30290
ender	30290
merge	30290
berme	30285
taish	30281
ranga	30280
istle	30278
rappe	30277
barge	30275
madar	30275
niece	30274
frise	30274
snell	30272
royet	30269
peisy	30266
stent	30266
liter	30263
sexor	30259
sevir	30256
shave	30256
sunna	30253
lahar	30252
nance	30249
pawer	30245
salvo	30244
bossy	30244
penal	30241
opera	30238
parev	30236
lever	30233
deice	30232
ortet	30227
readd	30218
craal	30217
surah	30216
kasha	30213
ronde	30212
monie	30211
eloge	30209
goner	30209
revel	30205
lurer	30205
trone	30204
antar	30202
sloka	30201
aroba	30198
spart	30197
strew	30197
della	30197
peent	30196
drier	30194
pekoe	30193
slosh	30192
honer	30185
baker	30181
maneh	30179
plane	30179
prana	30177
taupe	30176
irone	30176
latke	30175
damar	30172
nolle	30168
prest	30161
tamal	30159
riley	30154
oiran	30154
papey	30151
manna	30148
recue	30147
stoma	30145
abler	30143
yager	30143
carap	30142
cerge	30141
smart	30137
valet	30136
heeze	30132
plene	30130
rider	30127
newer	30127
lathe	30127
laxer	30124
recep	30121
clear	30121
rotan	30120
keeve	30119
basin	30119
marma	30115
lepra	30115
rieve	30113
silex	30113
spray	30112
marah	30111
shart	30109
reamy	30109
laika	30106
spait	30103
sooth	30103
basti	30103
borne	30103
skeev	30097
ureal	30096
aheap	30094
derro	30091
verso	30090
ragde	30090
oware	30087
gager	30087
petal	30086
rille	30084
dalek	30082
mamey	30082
moira	30081
raspy	30080
muset	30080
raksi	30071
ruote	30069
paolo	30068
beery	30067
talpa	30067
radge	30066
drest	30065
strap	30064
poalo	30061
frate	30061
repay	30057
barbe	30055
pheer	30053
peaty	30053
ratha	30050
enure	30049
scran	30049
meant	30044
gleet	30044
tenge	30043
misal	30042
yearn	30038
slove	30036
leben	30034
menta	30033
ettle	30033
canst	30032
feral	30032
poaka	30031
kente	30031
caneh	30030
keeno	30028
besit	30027
poral	30026
banal	30025
edile	30025
talma	30024
porta	30019
auger	30019
booai	30013
wader	30010
hirer	30009
morat	30008
sengi	30008
labne	30007
raird	30005
artsy	30005
rower	30004
shope	30003
areic	30003
pacey	30002
verra	30001
canna	29999
ruler	29994
crore	29991
spial	29990
creep	29989
tenor	29988
resow	29987
labra	29986
druse	29985
pasty	29981
cabre	29978
moola	29978
masur	29977
boite	29972
barro	29971
neeld	29969
cesti	29969
eiron	29967
scart	29965
palsy	29963
elute	29960
niner	29959
haute	29956
smaze	29954
edema	29953
ewest	29951
eliad	29949
nagar	29945
geyer	29944
cella	29943
skoal	29943
rello	29941
crier	29940
sowce	29939
sizel	29937
order	29936
ulnae	29936
roany	29927
tansu	29926
shtar	29922
motet	29921
spail	29920
rimer	29919
tarry	29917
alant	29917
sigla	29917
ropey	29910
delay	29909
peely	29907
cacao	29904
piece	29894
karsy	29894
labia	29892
paver	29892
pooay	29891
sevak	29886
pasmo	29885
forel	29885
metal	29885
waney	29881
maple	29880
scray	29880
makie	29880
regal	29878
metta	29878
paaho	29872
speil	29871
pance	29869
batta	29863
argle	29863
nesty	29863
scope	29859
poley	29858
halal	29854
meaty	29852
penna	29851
blate	29848
warst	29848
facer	29846
allan	29846
polar	29843
ourey	29840
savoy	29840
antra	29840
posca	29839
runer	29838
agone	29836
skeez	29835
afret	29829
macte	29828
moral	29825
ariot	29824
geist	29824
farad	29820
sadic	29818
sheaf	29817
karoo	29817
trite	29816
agora	29815
crest	29811
wanle	29811
deely	29811
shmoe	29809
pansy	29807
sdein	29806
niter	29804
atoke	29802
parol	29802
drape	29801
heist	29800
wowee	29799
beard	29798
nebel	29798
doona	29797
elsin	29796
sprad	29794
riper	29787
erica	29787
nanua	29785
sonly	29784
tweer	29783
renga	29782
parka	29781
masty	29780
seppo	29779
fayer	29779
crena	29778
never	29774
dance	29773
avast	29765
fatso	29763
doley	29762
blear	29757
mealy	29755
denay	29753
garbe	29752
retag	29745
sitka	29743
redye	29741
motel	29738
besaw	29738
outer	29738
rugae	29736
wrate	29736
piler	29735
toker	29734
ayaya	29733
amine	29732
caple	29731
cruse	29731
macle	29731
ormer	29728
titre	29727
garda	29726
feart	29725
medle	29722
derma	29722
bolet	29719
snoot	29717
pulse	29715
segni	29714
darga	29712
dread	29712
aioli	29712
urena	29706
repeg	29704
spide	29704
sharn	29703
cheer	29703
poney	29702
bonie	29698
spain	29697
scail	29688
swile	29686
nerol	29684
great	29684
nasho	29682
loipe	29681
supra	29678
maneb	29677
maedi	29677
allay	29677
coral	29676
bedel	29671
radio	29668
shyer	29665
breem	29665
defer	29663
nerka	29663
talak	29662
farce	29660
flare	29659
moley	29657
asity	29655
tacan	29655
patsy	29652
raphe	29651
rover	29651
trema	29647
jessy	29645
apeak	29644
molar	29642
sambo	29638
tewel	29638
ricer	29638
sidhe	29636
pusle	29636
hamel	29634
signa	29631
stool	29631
moder	29630
akoia	29630
dowse	29629
alamo	29629
lethe	29629
cedar	29628
evade	29625
